Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Código Meses,Meses,Unidad,valor,Símbolo,Descripción del Símbolo
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2019","2019","7021","Valor anual","","92.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2020","2020","7021","Valor anual","","91.74","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2021","2021","7021","Valor anual","","90.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1991","1991","7021","Valor anual","","9.4","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1992","1992","7021","Valor anual","","11.86","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1993","1993","7021","Valor anual","","14.75","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1994","1994","7021","Valor anual","","20.02","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1995","1995","7021","Valor anual","","23.03","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1996","1996","7021","Valor anual","","27.7","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1997","1997","7021","Valor anual","","28.47","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1998","1998","7021","Valor anual","","30.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1999","1999","7021","Valor anual","","31.85","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2000","2000","7021","Valor anual","","37.09","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2001","2001","7021","Valor anual","","41.19","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2002","2002","7021","Valor anual","","48.84","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2003","2003","7021","Valor anual","","54.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2004","2004","7021","Valor anual","","59.6","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2005","2005","7021","Valor anual","","65.68","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2006","2006","7021","Valor anual","","72.24","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2007","2007","7021","Valor anual","","78.62","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2008","2008","7021","Valor anual","","84.87","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2009","2009","7021","Valor anual","","81.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
